4. Whose mobile phone  do you use?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
I have my own mobile phone,0.7808219178082192,0.9772727272727273,0.9183673469387755,,1.0
I use my husband's phone,0.0684931506849315,0.005681818181818182,0.02040816326530612,,
I use my mother's,0.0547945205479452,0.005681818181818182,0.02040816326530612,,
I use my brother's or sister's phone,0.0547945205479452,0.005681818181818182,,,
I use my friend's phone,0.0273972602739726,0.005681818181818182,,1.0,
I use my father's,0.0136986301369863,,0.02040816326530612,,
I use a phone at a mobile money kiosk,,,0.02040816326530612,,
