4. Whose mobile phone  do you use?,Burundi,Congo
I have my own mobile phone,0.9133333333333333,0.9205298013245033
I use my husband's phone,0.02,0.026490066225165563
I use my mother's,0.02,0.019867549668874173
I use my brother's or sister's phone,0.02666666666666667,0.006622516556291391
I use my friend's phone,0.02,0.006622516556291391
I use my father's,,0.013245033112582781
I use a phone at a mobile money kiosk,,0.006622516556291391
