7. What do you use the phone for?,Caregiver,Teacher,Young adult
I make calls,84,51,158
I send text messages,82,55,154
I receive text messages,79,53,150
I listen to music,53,40,121
I use Facebook,45,42,73
I use WhatsApp,32,41,44
I use the internet,16,32,39
I use Google,19,21,16
I play games,19,16,17
I listen to the radio,13,16,20
Messenger,4,2,9
Imo,,2,5
Usagiri,,,1
Viber,,1,
