How difficult was it to play these games?,Burundi,Congo
"Very easy, I understood instantly",0.3157894736842105,0.6578947368421053
"A little hard, I had to think about it for a long time",0.5526315789473685,0.3157894736842105
"Very difficult, I could not understand",0.13157894736842105,0.02631578947368421
