What were these messages about?,Me directly,My husband
Talking with children,0.35,0.40476190476190477
Games,0.36,0.2857142857142857
Brain games,0.22,0.23809523809523808
Children's health,0.06,0.023809523809523808
Celebrity news,0.01,0.023809523809523808
Jokes,,0.023809523809523808
