Who received the messages?,Burundi,Congo
Me directly,0.4888888888888889,0.6304347826086957
My husband,0.4666666666666667,0.1956521739130435
Didn't receive message,0.022222222222222223,0.10869565217391304
My children,0.022222222222222223,0.043478260869565216
My mother,,0.021739130434782608
