Why or why weren't you able to play the game with your children?,Burundi,Congo
I didn't understand,0.20930232558139536,0.5
Didn't receive message with games,0.18604651162790697,0.07142857142857142
"Yes, its important",0.20930232558139536,
My husband didn't tell me,0.13953488372093023,
No time,0.046511627906976744,0.2857142857142857
No children,0.09302325581395349,
Played other games,0.06976744186046512,0.07142857142857142
I was not well,0.023255813953488372,0.07142857142857142
I deleted messages,0.023255813953488372,
