What was your favorite kind of message?,Percentage
Games,0.34210526315789475
Talking with children,0.25
Children's health,0.15789473684210525
Brain games,0.09210526315789473
On life and marriage,0.06578947368421052
No preference,0.039473684210526314
 Talking with children,0.039473684210526314
Celebrity news,0.013157894736842105
