Why or why weren't you able to play the game with your children?,Percentage
I didn't understand,0.2807017543859649
"Yes, its important",0.15789473684210525
Didn't receive message with games,0.15789473684210525
No time,0.10526315789473684
My husband didn't tell me,0.10526315789473684
No children,0.07017543859649122
Played other games,0.07017543859649122
I was not well,0.03508771929824561
I deleted messages,0.017543859649122806
