Who did you share the messages with?,Burundi,Congo
Husband,0.18181818181818182,0.4
Neighbour,0.45454545454545453,0.175
Children,,0.2
Friend,0.18181818181818182,0.075
Sister,0.045454545454545456,0.125
Colleague,0.09090909090909091,
Care taker,0.045454545454545456,
Mother,,0.025
