Which activities were your favorite?,Percentage
Belly breathing,0.24324324324324326
Simon says,0.17567567567567569
Zip zop zap,0.10810810810810811
Team work,0.08108108108108109
Unclear,0.05405405405405406
 Start/stop,0.02702702702702703
 Zip zap zop,0.02702702702702703
Singing,0.013513513513513514
10 questions game,0.013513513513513514
Start/stop,0.013513513513513514
Shake everything off,0.013513513513513514
Motivating children,0.013513513513513514
