Who were these messages from?,Female,Male
Coach Azize,0.5,0.47368421052631576
I don't know,0.3888888888888889,0.22807017543859648
From the (IRC) teacher,0.05555555555555555,0.19298245614035087
Did not receive messages,0.05555555555555555,0.10526315789473684
