Age,count
22.0,2
23.0,7
24.0,3
25.0,7
26.0,11
27.0,11
28.0,6
29.0,6
30.0,2
31.0,3
32.0,6
33.0,3
34.0,1
35.0,2
36.0,1
38.0,2
39.0,1
40.0,1
41.0,1
42.0,2
43.0,1
44.0,1
45.0,1
46.0,1
53.0,1
55.0,1
59.0,1
60.0,1
