How many activities did you do with your students,Female,Male
1,0.5384615384615384,0.5
2,0.07692307692307693,0.29545454545454547
3,0.15384615384615385,0.11363636363636363
5,0.07692307692307693,0.045454545454545456
4,0.07692307692307693,0.022727272727272728
More than 5,0.07692307692307693,0.022727272727272728
