Is there anyway coach Azize could improve?,Female,Male
More shared teaching experiences,0.3157894736842105,0.3333333333333333
More support as a teacher,0.3157894736842105,0.3333333333333333
More messages,0.3684210526315789,0.17647058823529413
More information on the activities,,0.13725490196078433
More motivational messages,,0.0196078431372549
