Which activities were your favorite?,Female,Male
Belly breathing,5,13
Simon says,4,9
Zip zop zap,4,6
Team work,,6
Unclear,,4
10 questions game,1,
Motivating children,,1
Shake everything off,,1
Singing,,1
Start/stop,1,2
